Name,Type,Age,Nationality1,Nationality2,Notes
FIFA,International Governing Body,-,-,-,-
CONCACAF,Continental Confederation,-,-,-,-
CONMEBOL,Continental Confederation,-,-,-,-
UEFA,Continental Confederation,-,-,-,-
CAF,Continental Confederation,-,-,-,-
AFC,Continental Confederation,-,-,-,-
OFC,Continental Confederation,-,-,-,-
Sep Blatter,Individual,79,Switzerland,-,-
Alejandro Burzaco,Individual,50,Argentina,-,-
Aaron Davidson,Individual,44,USA,-,-
Rafael Esquivel,Individual,68,Venezuela,-,-
Eugenio Figueredo,Individual,83,Uruguay,-,-
Hugo Jinkis,Individual,70,Argentina,-,-
Mariano Jinkis,Individual,40,Argentina,-,-
Nicolás Leoz,Individual,86,Paraguay,-,-
Eduardo Li,Individual,56,Costa Rica,-,-
José Margulies,Individual,75,Brazil,-,-
José Maria Marin,Individual,83,Brazil,-,-
Julio Rocha,Individual,64,Nicaragua,-,-
Costas Takkas,Individual,58,United Kingdom,-,-
Jack Warner,Individual,72,Trinigad & Tobago,-,-
Jeffrey Webb,Individual,50,Cayman Isl.,-,CIFA President
Charles Blazer,Individual,70,USA,-,-
Jose Hawilla,Individual,70,Brazil,-,-
Daryan Warner,Individual,46,Trinigad & Tobago,Grenada,-
Ricardo Teixeira,Individual,-,Brazil,-,Under Investigation
Enrique Sanz,Individual,-,Colombia,-,Under Investigation
Traffic Sports Intl,Corporate,-,British Virgin Islands,-,-
Traffic Sports USA,Corporate,-,USA,-,-
TAM Airlines,Corporate,-,Brazil,-,-
Australia,Nation,-,-,-,-
Venezuala,Nation,-,-,-,-
Argentina,Nation,-,-,-,-
Bahamas,Nation,-,-,-,-
South Africa,Nation,-,-,-,-
Morocco,Nation,-,-,-,-
France,Nation,-,-,-,-
Ireland,Nation,-,-,-,-
USA,Nation,-,-,-,-
Brazil,Nation,-,-,-,-
Paraguay,Nation,-,-,-,-
Panama,Nation,-,-,-,-
Ecuador,Nation,-,-,-,-
China,Nation,-,-,-,-
England,Nation,-,-,-,-
Chile,Nation,-,-,-,-
Russia,Nation,-,-,-,-
Qatar,Nation,-,-,-,-
