Year,From,To,Scheme,Payment Type,Amount,Location,Notes,link
1987,Traffic Brazil,CONMEBOL Copa America,Scheme A,Marketing,"$1,700,000",-,Subsequently purchased rights to 1989 and 1991 editions for a new but unspecified sum.,
1991,Traffic Brazil,CONMEBOL Copa America,Scheme A,Marketing,"$6,600,000",-,"Commercial and broadcast rights for 1993, 1995, and 1997 editions of Copa America ($2.2m for each edition)",
1991,Co-Conspirator #2,Nicolas Leoz,Scheme A,Kickback,-,Paraguay,"Unspecified six figure bribe for signing commerical and broadcast rights contract for '93, '95, and '97 Copa America editions.",
1993,Traffic Brazil,CONMEBOL Copa America,Scheme A,Marketing,"$440,000",-,Rate hike to '93 Copa America demanded and secured on cause of United States and Candadian team participation. Similiar 20% hikes secured for '95 and '97 editions.,
1993-1995,Co-Conspirator #2,Nicolas Leoz,Scheme A,Kickback,,-,"Arranged kickbacks for each Copa America edition through 2011. Amount unspecified but increased a sum of $x,xxx,xxx (seven digits) per edition by 2011 ",
2004,Traffic International,CONMEBOL Copa America,Scheme A,Marketing,"$12,000,000",USA,Wire payment from US to Paraguary for rights associated with 2004 Copa America edition.,
2006-2007,Traffic International,CONMEBOL Copa America,Scheme A,Marketing,"$17,000,000",USA,Wire payment from US to Paraguay for rights associated with the 2007 Copa America edition.,
2010-2011,Traffic International,CONMEBOL Copa America,Scheme A,Marketing,"$22,000,000",USA,Wire payment from US to Paraguary for rights associated with 2011 Copa America edition.,
2007,Traffic; Co-Conspirator #2,Rafael Esquivel,Scheme A,Kickback,"$1,000,000",-,Bribe for ESQUIVEL's official endorsement of Copa America hosted by Venezuela. Jose Margulieshelped communicate bribe demands.,
2007,Co-Conspirator #9,Rafael Esquivel,Scheme A,Kickback,"$700,000",-,Kickback for 2007 Copa America commerical and broadcast rights.,
2011,Co-Conspirator #2; Co-Conspirator 9,Rafael Esquivel,Scheme A,Kickback,"$1,000,000",Brazil,"Additional kickback (retrospectively demanded) for 2007 Copa America commerical and broadcast rights due to substantial profitability. Co-conspirators sought favorable position on commercial and marketing contracts up for bids, against competitor, Full Play. Scheme A here overlaps with corruption scheme CONMEBOL/CONCACAF Copa America Centenario.",
2011,Co-Conspirator #2,Co-Conspirator #10; Alejandro Burzaco,Scheme A,Kickback,,,Seven figure bribe scheme involved Alejandro Burzaco using his corporation Torneos to funnel money via complex scheme for Co-Conspirator #10. Bribe arranged for support of Aregentina Copa America.,
1994,Traffic USA,CONCACAF,Scheme B,Marketing,"$9,750,000",-,"Traffic USA obtains exclusive worldwide commercial rights for 1996, 1998 & 2000 editions of CONCACAF Gold Cup.",
1999,Traffic USA,Co-Conspirator #1,Scheme B,Kickback,"$200,000",-,"Betwen 1993-2000, bribes well exceeded this noted single example $200,000 traced bribed (half of which is re-directed to WARNER) wired from US to Cayman Islands.",
1999,Co-Conspirator #1,Jack Warner,Scheme B,Kickback,"$100,000",-,"Betwen 1993-2000, bribes well exceeded the noted single example $100,000 traced bribed wired from Cayman Islands to Trinidad and Tobago.",
1998-2007,Toyota,CONMEBOL,Scheme C,Marketing,"$35,000,000",-,"Toyota paid over $35 million marketing rights (title sponsor of
 Copa Libertadores tournament)",http://www.wsj.com/articles/six-soccer-officials-arrested-in-fifa-corruption-investigation-1432710956
2007,Sports Mkt Co A,Grupo Sartander,Scheme C,Marketing,"$40,000,000",-,Sports Marketing Company A sold marketing rights (title sponsorship) to Santander for $40million,
2012,Bridgestone,Nicolas Leoz,Scheme C,Marketing,"$57,000,000",-,Bridgestone marketing rights (title sponsorship) to tournament obtained for $57 million,
2000,Sports Mkt Co A,Nicolas Leoz,Scheme C,Marketing,"$56,100,000",-,overall sponsorship rights (excluding title sponsorship rights) obtained by Sports Marketing Company A for $56.1 million for years 2001-2007 (renewed in 2007 and 2012),
2006,Co-Conspirator #5,Nicolas Leoz,Scheme C,Kickback,"$2,000,000",USA,Wire from USA to Leoz’s accounts in Switzerland and Paraguay. Involved Leoz’s personal and corporate accounts in Brazil (including sham consulting contracts in brazil to conceal nature of illegal monies).,
2008,Co-Conspirator #5,CONMEBOL,Scheme C,Kickback,"$400,000",USA,"“From time to time in 2008”, Co-conspirator #5 made unspecified payments via wire from USA to CONMEBOL account in Paraguay or Switzerland. Part of $40 Million contract.",
2009,Co-Conspirator #5,CONMEBOL,Scheme C,Kickback,"$400,000",USA,"“From time to time in 2008”, Co-conspirator #5 made unspecified payments via wire from USA to CONMEBOL account in Paraguay or Switzerland. Part of $40 Million contract.",
2010,Co-Conspirator #5,CONMEBOL,Scheme C,Kickback,"$400,000",USA,"“From time to time in 2008”, Co-conspirator #5 made unspecified payments via wire from USA to CONMEBOL account in Paraguay or Switzerland. Part of $40 Million contract.",
2011,Co-Conspirator #5,CONMEBOL,Scheme C,Kickback,"$400,000",USA,"“From time to time in 2008”, Co-conspirator #5 made unspecified payments via wire from USA to CONMEBOL account in Paraguay or Switzerland. Part of $40 Million contract.",
2012,Co-Conspirator #5,CONMEBOL,Scheme C,Kickback,"$400,000",USA,"“From time to time in 2008”, Co-conspirator #5 made unspecified payments via wire from USA to CONMEBOL account in Paraguay or Switzerland. Part of $40 Million contract.",
2009,Traffic,Brazilian Football Federation (CBF),Scheme D,Marketing,,Brazil,"As a result of contract, Traffic Brazil came to hold the commercial rights for the Copa do Brasil 2009-2014 editions.",
2011,Sports Marketing Company B,CBF,Scheme D,Marketing,,Brazil,"As a result of contract, Sports Marketing Company B came to hold the commercial rights for the Copa do Brasil 2015-2022 editions.",
2011,Co-Conspirator #6,CBF,Scheme D,Kickback,,Brazil,"Co-Conspirator #6 agreed to pay annual bribe for Sports Marketing Company B's Copa do Brasil rights, just as competitor rights holder (via Co-Conspirator #2) had done in previous years.",
2012,Sports Marketing Company B,Traffic Brazil,Scheme D,,,Brazil,"To solve dispute between two marketing agents and their respective co-conspirators #6 and #2, agreement to pool rights with equal profit sharing for 2013-2022 Copa do Brasil editions.",
2012,Co-Conspirator #2,JOSE MARIA MARIN; Co-Conspirator #11; Co-Conspirator #12,Scheme D,Kickback,"$493,000",Brazil,"Agreed to pay half the annual bribe of $986,000 for Copa do Brasil rights between 2013-2022. US finanical system and wire used, as well as the UK.",
1996,Sportswear Company A,CBD,Scheme E,Marketing,"$160,000,000",-,"US Sportswear Company A secured sponsor rights for a ten year period as one of CBF’s co-sponsors and to be CBF’s exclusive footwear,
apparel, accessories, and equipment supplier.",
1996-1999,Sportswear Company A,Traffic Brazil,Scheme E,Kickbacks,"$30,000,000",-,"Not specified in CBF contract, Sportswear Company A received invoice for $30,000,000 of an agreement for a total of $40,000,000 to be paid to Traffic Brazil .",
1996,Co-Conspirator #2,Co-Conspirator #11,Scheme E,Kickbacks,"$15,000,000",-,Co-Conspirator #2 agreed and did pay half of Traffic Brazil kickbacks received from Sportswear Company A.,
2002,Sportswear Company A,Traffic Brazil,Scheme E,,,,"Terminated ""kickback"" scheme.",
2006,Traffic USA,CFU,Scheme F,Marketing,"$900,000",-,Traffic USA entered World Cup Qualifier agreement with CFU for media rights that were to include TTFF rights. ,
2006,Traffic USA,Jack Warner,Scheme F,Kickback,"$800,000",-,Paid for supposed TTFF rights which were already bundled in sell of CFU  media rights.,
2004,Traffic ,Jack Warner,Scheme F,Kickback,"$40,000",-,Germany World Cup Qualifier kickback.,
2010,Traffic,CFU,Scheme F,Marketing,"$2,200,000",-,Traffic USA entered World Cup Qualifier agreement with CFU for media rights that were to include TTFF rights.,
2010,Traffic,Jack Warner,Scheme F,Kickback,"$800,000",-,Paid for supposed TTFF rights which were already bundled in sell of CFU media rights.,
2006,Traffic USA,Jack Warner,Scheme F,Kickback,"$40,000",-,"Germany World Cup Qualifier kickback, part 2.",
2004,Morocco,Co-Conspirator #1,Scheme G,Kickback,-,-,"Bribe offer of $1,000,000 to vote for Morocco as hosts of 2010 World Cup.",
,South Africa Bid Committee & South African Governament,CFU,Scheme G,Kickback,-,-,"Bribe offer of $10,000,000 for World Cup hosting bids of CFU - that is, the votes of WARNER, Co-conspirator #1, Co-Conspirator #17 to vote for South Africa.",
2008,FIFA high ranking individual,CFU and CONCACAF,Scheme G,Kickback,"$616,000",-,Payment one of FIFA money diverted from South Africa to CFU accounts controlled by WARNER as a work around scheme to pay off bribe. Money moved from Swiss account to New York accounts to Trinidad and Tobago account.,
2008,FIFA high ranking individual,CFU and CONCACAF,Scheme G,Kickback,"$1,600,000",-,Payment two of FIFA money diverted from South Africa to CFU accounts controlled by WARNER as a work around scheme to pay off bribe. Money moved from Swiss account to New York accounts to Trinidad and Tobago account.,
2008,FIFA high ranking individual,CFU and CONCACAF,Scheme G,Kickback,"$7,784,000",-,Payment three of FIFA money diverted from South Africa to CFU accounts controlled by WARNER as a work around scheme to pay off bribe. Money moved from Swiss account to New York accounts to Trinidad and Tobago account.,
2008,CFU,Jack Warner,Scheme G,Kickback,"$200,000",Trinidad and Tobago,Personal kickback dispersal number one: WARNER acting via CFU rediverted FIFA payment one for personal use.,
2008,CFU,Jack Warner,Scheme G,Kickback,"$1,400,000",Trinidad and Tobago,WARNER money laundering dispersal technique of diverting the FIFA $10 million include transferring and layering money through Trinidadian Company A & B before personal account depositing.,
2008,CFU,Co-Conspirator #1,Scheme G,Kickback,"$298,500",-,"WARNER acting via CFU directed payment one as partial fullfillment of WARNER's $1 million agreed with Co-Conspirator #1 in bribe scheme. Republic Bank in Trinidad and
Tobago to Bank of America in New York but controlled Co-Conspirator #1 in Cayman.",
